name;address;postal code;city;phone;lattitude;longitude;company;idpoi;dfselection
LECOMTE PRESTIGE - LA CHAPELLE ST. LUC;74, RUE JEAN BAPTISTE COLBERT;10600;LA CHAPELLE ST. LUC;03.25.82.09.13;48.3209;4.02612;Siligom;37;0
NSA CONCEPT - SAINT PIERRE LES NEMOURS;63 AVENUE CARNOT;77140;SAINT PIERRE LES NEMOURS;01 60 55 01 01;48.2768;2.68411;Siligom;37;0
GOGIEN PIECES AUTO - CHATILLON SUR SEINE;14 RUE JEAN GIONO;21400;CHATILLON SUR SEINE;03.80.91.16.04;47.8684;4.58032;Siligom;37;0
PNEUS SERVICES - ST CYR S/ MENTHON;201 ALLÉE DES TEPPES - ZA LES TEPPES;1380;ST CYR SUR MENTHON;03.85.30.25.46;46.268;4.95358;Siligom;37;0
DELIT PNEUS - ST NICOLAS LES ARRAS;IMPASSE DU BOIS;62223;ST NICOLAS LES ARRAS;03.21.55.38.25;50.3038;2.78337;Siligom;37;0
BARGEON PNEUS - LA TOUR DU PIN;ZA DU CHAPELIER;38110;LA TOUR DU PIN;04.74.97.32.05;45.563;5.4282;Siligom;37;0
CENTRE AUTO GIROLAMI - CASTELLARE DI CASINCA;RN 198 - LD VALENDELLA;20213;CASTELLARE DI CASINCA;04 95 59 71 03;42.4671;9.49045;Siligom;37;0
PYRAME PLUS - SALON DE PROVENCE;RUE REMOULAIRE - ZI DE GANDONNE;13300;SALON DE PROVENCE;04.90.44.02.50;43.6289;5.09607;Siligom;37;0
PNEUS DU SOMAIL - ST. PONS DE THOMIERES;35, ROUTE DE CASTRES;34220;ST. PONS DE THOMIERES;04.67.97.50.00;43.4868;2.75466;Siligom;37;0
LA MAISON DU PNEU HAREAU-ROULETTE - ERNEE;ROUTE DE SAINT DENIS;53500;ERNEE;02.43.05.20.56;48.3;-0.92587;Siligom;37;0
LONGUELANE SERVIE ROUTE - STATION LES LAVANDES - AGDE;AVENUE DE SÈTE;34300;AGDE;04.67.21.15.88;43.3111;3.47847;Siligom;37;0
SAINT JEAN AUTO SERVICE - CAGNES SUR MER;24 AVENUE DES ALPES;6800;CAGNES SUR MER;04.93.20.30.36;43.6603;7.14173;Siligom;37;0
GERARD PNEUS - ST MAXIMIN LA STE BAUME;ZA. ROUTE D'AIX;83470;ST MAXIMIN LA STE BAUME;04.94.78.14.49;43.4615;5.82887;Siligom;37;0
PARIS NORMANDIE PNEUS - LA SELLE LA FORGE;749 RUE PAUL GARNIER;61100;LA SELLE LA FORGE;02 33 66 66 66;48.7389;-0.552435;Siligom;37;0
LA MAISON DU PNEU HAREAU-ROULETTE - PARIGNY;LA RIVIÈRE;50600;PARIGNY;02.33.49.46.94;48.9459;-0.93883;Siligom;37;0
PNEUS SERVICES - ST GILLES DE CROIX DE VIE;4, RUE DES ARTISANS - ZI LA BÉGAUDIÈRE;85800;ST GILLES DE CROIX DE VIE;02.51.26.99.95;46.6923;-1.90623;Siligom;37;0
SILIGOM SAINT JACQUES - SAINT JACQUES DE LA LANDE;9 RUE HENRY POLLES;35136;SAINT-JACQUES DE LA LANDE;02.99.35.31.33;48.0725;-1.72103;Siligom;37;0
GARAGE DU MONT - ST QUENTIN SUR LE HOMME;23, RUE DE LA QUINTINE;50220;ST QUENTIN SUR LE HOMME;02.33.79.42.60;48.6476;-1.3524;Siligom;37;0
LA MAISON DU PNEU BMG DELFAU - LA PRIMAUBE;338, AVENUE DE RODEZ;12450;LA PRIMAUBE (OLEMPS);05.65.75.50.75;44.2964;2.55837;Siligom;37;0
BARGEON PNEUS POIDS LOURDS - LA TOUR DU PIN 2;42 RUE EMILE ROMANET;38090;VILLEFONTAINE;04.74.96.75.67;45.6178;5.14342;Siligom;37;0
PYRAME PNEUS - AIX EN PROVENCE (ZI LES MILLES);1230, RUE AMPÈRE - ZI LES MILLES;13793;AIX EN PROVENCE;04.42.97.58.58;43.4847;5.38193;Siligom;37;0
